"","","Index value","Global rank","population age 60+ ('000000) in 2015","share of people 60+, 2015","share of people 60+, 2030","share of people 60+, 2050","I. INCOME SECURITY INDEX Value","I. INCOME SECURITY INDEX Rank","Pension income coverage","Poverty rate (relative definition) in old age","Relative welfare of the elderly","GNI per capita","II. HEALTH STATUS INDEX Value","II. HEALTH STATUS INDEX Rank","LE60","HALE60","Mental well-being (relative)","III. CAPABILITY Index Value","III. CAPABILITY Index Rank","Education","Employment","IV. ENABLING ENVIRONMENT Index Value","IV. ENABLING ENVRIONMENT Index Rank","Social Connectedness","Safe Walking Alone","Freedom in Your Life","Public transport","National policy on ageing","Region","Regional average Income security","Regional average Health status","Regional average Capability","Regional average Enabling environment"
"25","El Salvador","46.913053918703049","54",0.70282,11.4716474093308,15.7591938254123,24.094410980615,"38.126246092560429","77","21.9","20.9","105.88233529999999",7165.27808319261,"66.339720196917341","34",22,17.139,"101.04166666666667","29.755392422331834","59","19.501862745098038",62.2,"65.34067420402927","53","72","51","68","73","yes ","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"26","Estonia","64.949921401674999","23",0.331008,25.2185427234454,29.0588749094167,35.1069530320704,"70.710072835987333","44","98","6.5","70",23251.0284584294,"49.998754368317364","55",21,16.23,"77.215189873417728","64.803988857704354","6","88.819453924914669",62.6,"68.121215293499034","39","84","57.999999999999993","65","68","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"27","Finland","72.688357292752031","14",1.49569,27.1772814796227,31.4984764684212,32.3982197507936,"80.314347074102784","17","100","5","83",39699.1749141222,"70.780830124499744","21",24,17.461,"91.764705882352942","44.781420538153583","29","48.627117870722429",58.5,"76.127793655333363","18","88","72","93","56.999999999999993","yes","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"28","France","71.212774909512817","16",16.249158,25.2334357398039,29.880444490459,31.7580399284773,"88.414943207182276","3","100","3.4","105",37830.3830033411,"78.34444269216894","7",25,18.786,"91.954022988505741","35.769944194566698","42","55.042052083333338",45.6,"74.17869080113762","23","93","62","89","59","yes ","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"29","Georgia","58.842806610891706","29",0.770423,19.2614802895736,25.0556177408056,33.0402729959967,"66.36280579426743","48","89.8","19","94.754294999999999",6137.41550912645,"46.211696968136657","60",20,15.244,"82.417582417582409","53.903856629622723","19","65.32313341493267",60.7,"67.093067873680013","45","43","85","66","84","no information","Eastern European Group",69.6336873981665,44.0479843823774,41.2612613715638,61.52817760982
"30","Germany","84.306166695681071","4",22.26861,27.5982297115408,36.1232813389922,39.2884795802625,"80.926892652997282","15","100","9.6999999999999993","88",44400.7116176993,"75.585898291727048","11",24,17.759,"101.16279069767442","68.447615940217801","3","96.442586158058717",63.5,"78.644449736321477","11","90","70","88","69","yes","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"31","Ghana","34.199989031787503","81",1.443833,5.26756160631492,6.54625583737773,9.65283119812069,"19.63000196648683","88","7.6","21.4","87.324533900000006",3457.66548757877,"31.907071547843277","77",17,13.752,"97.959183673469383","49.346819255768118","23","35.594808853118707",78.2,"63.717249858164088","56","63","81","85","38","yes ","African group",30.4874988065445,29.1489265466507,23.4926494846283,58.1856300355838
"32","Greece","34.472551626059477","79",2.961229,27.0317894272342,33.2047557055289,40.7782194742499,"76.804647491454446","28","77.400000000000006","7.7","106",26215.307255214,"70.744447963195242","22",24,17.368,"92.391304347826093","16.927310906465124","87","31.308327796234771",35.6,"49.599567239897034","91","61","48","39","53","no information","Western European and Others Group (WEOG)",78.9389427534014,74.4421025772514,47.8963670031928,74.2945143248702
"33","Guatemala","44.680725225274102","59",1.145304,7.00796192988305,8.5583522574832,14.2480933971475,"42.357659804705179","74","28.499999999999996","19","100.5206001",6805.90663161548,"57.030000911594506","44",21,15.951,"95.959595959595958","21.144261474330285","81","10.967252985884908",59.7,"70.19737790028465","34","70","53","85","77","yes","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
"34","Honduras","34.127796498287843","82",0.581327,7.19904248389486,10.7180450328585,19.4945954263588,"21.361320773627167","85","8.4","28.9","105.87342889999999",4124.12866482322,"56.170284164278648","46",22,14.586,"97.916666666666657","25.025134383843863","73","13.424213836477989",63.7,"61.960941253931637","65","76","46","68","62","no information","Latin American and Caribbean Group (GRULAC)",55.8657534132848,63.2842574883362,33.8205571328688,63.2067074718106
